"X";"TRAINRUN";"TFZ";"NUM_TFZ";"VMAX";"TOTALLENGTH";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"TRAINCLASS";"T10km";"T10SYS";"STABFQ";"NAME"
1;57;"185-2";1;100;279;1685;"P";70;TRUE;1;"NGz";532,239092023379;532,554544696399;1,000592689785;"G5"
2;1012;"182-2";1;120;720;1616;"P";78;TRUE;1;"FGz";510,565257634723;532,554544696399;1,04306851422587;"G5"
3;40565;"189-2";1;100;579;1676;"P";78;TRUE;1;"FGz";516,561126330076;532,554544696399;1,03096132781022;"G5"
4;41126;"185-2";1;100;649;1685;"P";78;FALSE;1;"FGz";532,239092023379;532,554544696399;1,000592689785;"G5"
5;41127;"185-2";1;100;649;1685;"P";77;FALSE;1;"FGz";532,239092023379;532,554544696399;1,000592689785;"G5"
6;41133;"189-2";1;100;659;1721;"G";80;FALSE;1;"GzG";550,708765714089;772,111907732297;1,40203308137128;"s90"
7;41134;"189-2";1;100;659;1721;"G";80;TRUE;1;"GzG";550,708765714089;772,111907732297;1,40203308137128;"s90"
8;41144;"185-2";1;100;649;1685;"P";68;TRUE;1;"FGz";532,239092023379;532,554544696399;1,000592689785;"G5"
9;41714;"189-2";1;100;619;1686;"P";78;FALSE;1;"FGz";517,63658211195;532,554544696399;1,02881937463458;"G5"
10;41903;"185-2";1;100;639;1675;"P";78;FALSE;1;"FGz";530,576394593333;532,554544696399;1,00372830401658;"G5"
11;41930;"185-2";1;100;639;1685;"P";78;FALSE;1;"FGz";532,239092023379;532,554544696399;1,000592689785;"G5"
12;41945;"185-2";1;100;599;1685;"P";77;FALSE;1;"FGz";532,239092023379;532,554544696399;1,000592689785;"G5"
13;41952;"185-2";1;100;599;1485;"P";77;FALSE;1;"FGz";507,01594844427;532,554544696399;1,05037040024183;"G5"
14;41965;"185-2";1;100;619;1685;"P";75;FALSE;1;"FGz";532,239092023379;532,554544696399;1,000592689785;"G5"
15;42903;"185-2";1;100;669;1675;"P";78;FALSE;1;"FGz";530,576394593333;532,554544696399;1,00372830401658;"G5"
16;42931;"185-2";1;100;639;1675;"P";78;FALSE;1;"FGz";530,576394593333;532,554544696399;1,00372830401658;"G5"
17;42947;"182-2";1;100;669;1676;"P";70;TRUE;1;"FGz";517,655319868089;532,554544696399;1,02878213408897;"G5"
18;42948;"182-2";1;100;669;1931;"G";75;TRUE;1;"GzG";577,368216373372;772,111907732297;1,33729548291066;"s90"
19;42949;"182-2";1;100;669;1836;"G";75;TRUE;1;"FGz";565,73094080782;772,111907732297;1,36480410039052;"s90"
20;42951;"189-2";1;100;659;1721;"G";80;TRUE;1;"GzG";550,708765714089;772,111907732297;1,40203308137128;"s90"
21;43901;"185-2";1;100;649;1685;"P";77;TRUE;1;"FGz";532,239092023379;532,554544696399;1,000592689785;"G5"
22;43932;"1116-1";1;100;624;1686;"P";78;FALSE;1;"FGz";518,31884208224;532,554544696399;1,02746514588775;"G5"
23;43940;"182-1";1;100;669;1686;"P";78;TRUE;1;"FGz";517,828464578748;532,554544696399;1,02843814337173;"G5"
24;43941;"182-1";1;100;669;1676;"P";75;FALSE;1;"FGz";517,655319868089;532,554544696399;1,02878213408897;"G5"
25;43944;"189-2";1;100;639;1686;"P";92;FALSE;1;"FGz";517,63658211195;532,554544696399;1,02881937463458;"G5"
26;43945;"189-2";1;100;639;1686;"P";92;TRUE;1;"FGz";517,63658211195;532,554544696399;1,02881937463458;"G5"
27;43958;"182-2";1;100;669;1931;"G";75;TRUE;1;"GzG";577,368216373372;772,111907732297;1,33729548291066;"s90"
28;43986;"185-2";1;80;619;1085;"P";58;TRUE;1;"NGz";529,456214695272;529,456214695272;1;"no"
29;44962;"185-2";1;100;629;1685;"P";70;FALSE;1;"FGz";532,239092023379;532,554544696399;1,000592689785;"G5"
30;44968;"185-2";1;100;629;1685;"P";70;FALSE;1;"FGz";532,239092023379;532,554544696399;1,000592689785;"G5"
31;45705;"189-2";1;90;569;1186;"P";78;TRUE;1;"NGz";495,199784198699;532,554544696399;1,07543371723828;"G5"
32;46386;"1116-1";1;100;619;1386;"P";67;FALSE;1;"FGz";484,820335448509;532,554544696399;1,09845752283417;"G5"
33;46669;"151-1";2;100;409;1718;"P";64;FALSE;1;"FGz";448,774230821469;532,554544696399;1,18668699787324;"G5"
34;47398;"232-2";1;100;621;1122;"P";70;FALSE;0;"NGz";644,261850804284;772,111907732297;1,19844424556321;"s90"
35;47795;"185-2";1;90;419;1885;"P";58;TRUE;1;"NGz";565,663410379488;565,663410379488;1;"no"
36;47959;"155-1";1;100;419;1638;"P";75;FALSE;1;"FGz";562,518049646535;772,111907732297;1,37259934719866;"s90"
37;47988;"185-2";1;100;319;1685;"P";70;TRUE;1;"NGz";532,239092023379;532,554544696399;1,000592689785;"G5"
38;48573;"185-2";1;90;419;1880;"P";62;FALSE;1;"GzG";566,499584842921;772,111907732297;1,36295229227112;"s90"
39;48924;"185-2";1;100;609;1085;"P";66;FALSE;1;"FGz";465,229545549342;532,554544696399;1,14471350710875;"G5"
40;48929;"185-2";1;100;609;885;"P";78;FALSE;1;"FGz";450,604051688854;532,554544696399;1,18186807841695;"G5"
41;48930;"185-2";2;90;573;2120;"G";62;FALSE;1;"GzG";517,069592679447;772,111907732297;1,4932456262439;"s90"
42;48933;"151-1";2;90;584;1795;"G";66;FALSE;1;"GzG";507,584276741853;772,111907732297;1,52115016778776;"s90"
43;48987;"185-2";2;90;398;1880;"P";70;TRUE;1;"NGz";482,774844643672;532,554544696399;1,10311162771844;"G5"
44;50030;"152-3";1;120;699;1287;"P";90;TRUE;1;"FGz";476,319545050742;532,554544696399;1,11806149932325;"G5"
45;50031;"152-3";1;120;699;1482;"P";85;TRUE;1;"FGz";493,894377845209;532,554544696399;1,07827618330028;"G5"
46;50035;"152-3";1;140;719;1482;"P";79;TRUE;1;"FGz";493,894377845209;532,554544696399;1,07827618330028;"G5"
47;50036;"152-3";1;140;719;1487;"P";82;TRUE;1;"FGz";494,33084389317;532,554544696399;1,07732412669659;"G5"
48;50121;"151-1";1;120;719;1653;"P";78;TRUE;1;"FGz";530,863571130944;532,554544696399;1,00318532605628;"G5"
49;50124;"151-1";1;120;719;1593;"P";78;TRUE;1;"FGz";522,320053004905;532,554544696399;1,01959429210618;"G5"
50;50134;"152-2";1;120;719;1562;"P";78;TRUE;1;"FGz";506,329860922844;532,554544696399;1,05179367404039;"G5"
51;50136;"151-1";1;120;719;1593;"P";78;TRUE;1;"FGz";522,320053004905;532,554544696399;1,01959429210618;"G5"
52;50161;"151-1";1;120;699;1318;"P";75;TRUE;1;"FGz";486,328456701356;532,554544696399;1,09505116831654;"G5"
53;50304;"152-3";1;120;719;1462;"P";75;TRUE;1;"FGz";492,181643803661;532,554544696399;1,08202845717839;"G5"
54;50305;"152-3";1;110;719;1587;"P";75;TRUE;1;"FGz";505,512332366481;532,554544696399;1,05349466392506;"G5"
55;50500;"152-3";1;120;719;1187;"P";76;TRUE;1;"FGz";468,604130342485;532,554544696399;1,13647001853606;"G5"
56;50501;"152-3";1;120;719;1462;"P";75;TRUE;1;"FGz";492,181643803661;532,554544696399;1,08202845717839;"G5"
57;50503;"151-1";1;100;719;1588;"P";75;FALSE;1;"FGz";521,496984176959;532,554544696399;1,02120349849557;"G5"
