"tfz";"totalmass";"num_tfz";"vmax";"brh";"breakclass";"total_res";"t10";"sta"
"G1000-1";1380;1;40;12;"G";0,9107;995,125709252363;"101"
"294-2";1789;1;40;38;"G";0,9189;850,482585930078;"103"
"180-1";2064;1;90;52;"G";0,9153;681,199472667362;"105"
"285-2";2560;1;70;60;"G";0,9355;778,273586937253;"107"
"285-2";2560;1;80;50;"G";0,9091;778,273586937253;"109A"
"285-2";2560;1;80;53;"G";0,9242;778,273586937253;"109B"
"180-1";2084;1;80;56;"G";0,904;683,697100033551;"111"
"180-1";2084;1;90;54;"G";0,9048;683,697100033551;"113"
"285-2";2560;1;90;60;"G";0,92;778,273586937253;"115A"
"185-2";2275;1;80;60;"P";0,9245;565,049630023443;"115B"
"285-2";2560;1;80;34;"G";0,9;778,273586937253;"117"
"180-1";2284;1;80;52;"G";0,9074;710,313658532563;"119A"
"G1206-3";2087;1;60;58;"G";0,9231;883,367468423894;"11B"
"180-1";2084;1;80;60;"G";0,9032;683,697100033551;"121"
"185-2";2275;1;80;66;"P";0,9054;565,049630023443;"123"
"371-1";2084;1;80;60;"G";0,9153;740,655703291717;"125A"
"145-2";2580;1;90;54;"G";0,9042;644,51326657475;"125B"
"145-2";2580;1;90;63;"G";0,9008;644,51326657475;"125C"
"145-2";2580;1;90;54;"G";0,9042;644,51326657475;"127A"
"145-2";2580;1;90;60;"G";0,9178;644,51326657475;"127C"
"145-2";2580;1;90;60;"G";0,9178;644,51326657475;"127D"
"185-2";2275;1;80;54;"P";0,9112;565,049630023443;"127E"
"185-2";2275;1;80;56;"P";0,905;565,049630023443;"129A"
"285-2";2560;1;80;35;"G";0,9118;778,273586937253;"129"
"185-2";2275;1;80;60;"P";0,9036;565,049630023443;"131A"
"185-2";2275;1;80;59;"P";0,9064;565,049630023443;"131B"
"G1206-3";2087;1;60;56;"G";0,9048;883,367468423894;"133A"
"285-2";2560;1;80;54;"G";0,9057;778,273586937253;"133B"
"203-1";1068;1;90;55;"G";1;672,784322263688;"137"
"180-1";2084;1;80;54;"G";0,9099;683,697100033551;"139A"
"G1206-3";2087;1;60;54;"G";0,9184;883,367468423894;"139B"
"294-2";1789;1;40;55;"P";0,9231;826,673062120555;"143B"
"180-1";2084;1;80;50;"G";0,9245;683,697100033551;"143"
"285-2";2560;1;70;54;"G";0,92;778,273586937253;"145B"
"264-1";3456;1;80;60;"G";0,9;765,887583017809;"147"
"264-1";3456;1;80;53;"G";0,9293;765,887583017809;"149"
"294-2";1789;1;40;40;"G";1;850,482585930078;"151"
"145-2";2580;1;90;64;"G";0,9034;644,51326657475;"153"
"145-2";2580;1;90;63;"G";0,9008;644,51326657475;"155B"
"145-2";2580;1;90;62;"G";0,9059;644,51326657475;"157A"
"145-2";2580;1;90;50;"G";0,9135;644,51326657475;"157B"
"145-2";2580;1;90;64;"G";0,9114;644,51326657475;"157"
"264-1";3456;1;80;44;"G";0,9412;765,887583017809;"15"
"180-1";2284;1;80;54;"G";0,9167;710,313658532563;"161"
"294-2";1789;1;40;62;"P";0,9259;826,673062120555;"163A"
"185-2";2275;1;80;54;"P";0,9136;565,049630023443;"163B"
"180-1";2284;1;80;53;"G";0,9574;710,313658532563;"165"
"180-1";2084;1;80;56;"G";0,9077;683,697100033551;"167A"
"180-1";2084;1;80;56;"G";0,9077;683,697100033551;"167"
"145-2";2580;1;90;63;"G";0,9011;644,51326657475;"169"
"145-2";2580;1;90;56;"G";0,9179;644,51326657475;"171A"
"145-2";2580;1;90;56;"G";0,9179;644,51326657475;"171"
"294-2";1789;1;40;42;"G";0,95;850,482585930078;"173A"
"145-2";2580;1;90;60;"G";0,9045;644,51326657475;"173B"
"145-2";2580;1;90;60;"G";0,9045;644,51326657475;"173C"
"145-2";2580;1;90;56;"G";0,9179;644,51326657475;"177A"
"145-2";2580;1;90;56;"G";0,9179;644,51326657475;"177B"
"145-2";2580;1;90;46;"G";0,9016;644,51326657475;"17"
"185-2";2275;1;80;55;"P";0,9;565,049630023443;"181"
"185-2";2275;1;80;55;"P";0,9;565,049630023443;"183"
"294-2";1789;1;40;50;"P";0,9524;826,673062120555;"185"
