"X";"TRAINRUN";"TFZ";"NUM_TFZ";"VMAX";"TOTALLENGTH";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"TRAINCLASS";"T10km";"T10SYS";"STABFQ";"NAME"
1;9;"185-2";1;100;719;1675;"P";69;TRUE;1;"FGz";502,506316794503;549,230167369848;1,0929816183673;"G18"
2;1005;"152-3";1;120;669;1617;"P";78;TRUE;1;"FGz";493,721997516041;549,230167369848;1,1124279860591;"G18"
3;40578;"145-2";1;100;558;1380;"P";78;FALSE;1;"FGz";491,490930467792;549,230167369848;1,11747772608357;"G18"
4;41816;"185-2";1;100;609;1685;"P";78;TRUE;1;"FGz";503,276651688776;549,230167369848;1,09130865802511;"G18"
5;42647;"152-3";1;120;649;1677;"P";82;TRUE;1;"FGz";497,928601797048;549,230167369848;1,10302996330729;"G18"
6;42711;"185-2";1;100;669;1685;"P";67;TRUE;1;"FGz";503,276651688776;549,230167369848;1,09130865802511;"G18"
7;43016;"Re 482-2";1;100;594;1484;"P";75;TRUE;1;"FGz";484,035282184807;549,230167369848;1,13469035746892;"G18"
8;43171;"151-1";1;100;429;1318;"P";78;FALSE;1;"FGz";476,093852585594;549,230167369848;1,15361743149394;"G18"
9;43230;"151-1";1;100;559;1418;"P";70;TRUE;1;"FGz";482,898297135639;549,230167369848;1,13736198828545;"G18"
10;43940;"182-1";1;100;669;1686;"P";78;TRUE;1;"FGz";498,345514673602;549,230167369848;1,10210717503813;"G18"
11;50109;"152-3";1;100;719;1622;"P";78;FALSE;1;"FGz";494,069950523591;549,230167369848;1,11164454909229;"G18"
12;50121;"151-1";1;120;719;1653;"P";78;TRUE;1;"FGz";499,760234745063;549,230167369848;1,09898733269569;"G18"
13;51485;"155-1";1;100;719;1723;"P";69;FALSE;1;"FGz";518,721061789015;549,230167369848;1,05881601467195;"G18"
14;51632;"185-2";1;100;719;1615;"P";70;TRUE;1;"FGz";497,9422080962;549,230167369848;1,10299982295082;"G18"
15;51880;"185-2";1;100;719;1615;"P";70;TRUE;1;"FGz";497,9422080962;549,230167369848;1,10299982295082;"G18"
16;60095;"185-2";1;120;629;1335;"P";77;TRUE;1;"FGz";477,8172404082;549,230167369848;1,14945657235105;"G18"
17;60818;"152-2";1;90;569;2952;"P";61;FALSE;1;"FGz";614,1132531597;750,985958691341;1,22287860557871;"s90"
18;69159;"182-2";1;120;739;1686;"P";78;TRUE;1;"FGz";498,345514673602;549,230167369848;1,10210717503813;"G18"
19;69160;"182-2";1;120;679;1616;"P";78;TRUE;1;"Gz";493,42282829846;549,230167369848;1,11310246683121;"G18"
20;69163;"182-2";1;120;720;1661;"P";78;TRUE;1;"FGz";496,576243840054;549,230167369848;1,10603391560301;"G18"
