"";"G12";"s90"
"0:00";0;0
"1:00";1;0
"2:00";0;0
"3:00";1;0
"4:00";2;0
"5:00";4;0
"6:00";4;0
"7:00";0;1
"8:00";7;1
"9:00";5;0
"10:00";6;0
"11:00";4;0
"12:00";4;0
"13:00";5;0
"14:00";4;0
"15:00";0;1
"16:00";1;2
"17:00";3;0
"18:00";1;0
"19:00";1;0
"20:00";5;0
"21:00";2;0
"22:00";3;1
"23:00";10;0
"24:00";9;2
"25:00";12;0
"26:00";6;0
"27:00";8;0
"28:00";8;0
"29:00";2;0
"30:00";0;0
"31:00";0;0
"32:00";0;0
"33:00";0;0
"34:00";1;0
"35:00";1;0
"36:00";0;0
"37:00";0;0
"38:00";0;0
"39:00";0;0
"40:00";0;0
"41:00";0;0
"42:00";0;0
"43:00";0;0
"44:00";0;0
"45:00";0;0
"46:00";0;0
"47:00";0;0
"48:00";0;0
