"";"G12";"s90"
"0:00";2;1
"2:00";5;0
"4:00";2;0
"6:00";1;1
"8:00";1;0
"10:00";4;0
"12:00";3;1
"14:00";3;0
"16:00";5;0
"18:00";4;1
"20:00";7;0
"22:00";6;2
"24:00";2;2
"26:00";0;0
"28:00";0;0
"30:00";0;0
"32:00";0;0
"34:00";0;0
"36:00";0;0
"38:00";0;0
"40:00";0;0
"42:00";0;0
"44:00";0;0
"46:00";0;0
"48:00";0;0
