"";"G3";"s90"
"0:00";0;0
"1:00";1;0
"2:00";1;0
"3:00";3;1
"4:00";2;1
"5:00";0;0
"6:00";2;0
"7:00";6;1
"8:00";4;1
"9:00";4;0
"10:00";4;1
"11:00";3;0
"12:00";2;1
"13:00";1;1
"14:00";1;0
"15:00";2;1
"16:00";0;0
"17:00";1;0
"18:00";0;1
"19:00";5;0
"20:00";2;1
"21:00";2;2
"22:00";7;3
"23:00";5;3
"24:00";2;1
"25:00";2;2
"26:00";2;1
"27:00";3;1
"28:00";1;1
"29:00";0;0
"30:00";0;0
"31:00";0;0
"32:00";0;0
"33:00";0;0
"34:00";1;0
"35:00";0;0
"36:00";0;0
"37:00";0;0
"38:00";0;0
"39:00";0;0
"40:00";0;0
"41:00";0;0
"42:00";0;0
"43:00";0;0
"44:00";0;0
"45:00";0;0
"46:00";0;0
"47:00";0;0
"48:00";0;0
