"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TOTALWEIGHT";"BREAKCLASS";"TFZ";"NUM_TFZ";"T10"
1985;56;"G";60;0,961538461538462;0,961538461538462;1;1;0,923076923076923;2000;"G";"9274-1";1;21374,5777459515
1986;56;"G";60;1;0,961538461538462;1;1;0,961538461538462;2100;"G";"9274-1";1;21429,4947543914
1989;56;"G";60;0,961538461538462;0,961538461538462;1;1;0,923076923076923;2000;"P";"9274-1";1;21374,5777459515
1990;56;"G";60;1;0,961538461538462;1;1;0,961538461538462;2100;"P";"9274-1";1;21429,4947543914
2027;56;"G";60;0,961538461538462;0,961538461538462;1;1;0,923076923076923;2500;"G";"DE1002-1";1;21282,9300823887
2028;56;"G";60;1;0,961538461538462;1;1;0,961538461538462;2600;"G";"DE1002-1";1;21376,8247228716
2029;56;"G";60;1;0,961538461538462;1;1;0,961538461538462;2700;"G";"DE1002-1";1;21441,640431808
2058;56;"G";60;0,961538461538462;0,961538461538462;1;1;0,923076923076923;2500;"P";"DE1002-1";1;21282,9300823887
2059;56;"G";60;1;0,961538461538462;1;1;0,961538461538462;2600;"P";"DE1002-1";1;21376,8247228716
2060;56;"G";60;1;0,961538461538462;1;1;0,961538461538462;2700;"P";"DE1002-1";1;21441,640431808
2252;56;"G";60;0,961538461538462;0,961538461538462;1;1;0,923076923076923;2600;"G";"G1206-1";1;21446,9109371067
2253;56;"G";60;0,961538461538462;0,961538461538462;1;1;0,923076923076923;2700;"G";"G1206-1";1;21464,4696377919
2254;56;"G";60;1;0,961538461538462;1;1;0,961538461538462;2800;"G";"G1206-1";1;21532,2017775241
2276;56;"G";60;0,961538461538462;0,961538461538462;1;1;0,923076923076923;2600;"P";"G1206-1";1;21446,9109371067
2277;56;"G";60;0,961538461538462;0,961538461538462;1;1;0,923076923076923;2700;"P";"G1206-1";1;21464,4696377919
2278;56;"G";60;1;0,961538461538462;1;1;0,961538461538462;2800;"P";"G1206-1";1;21532,2017775241
2321;56;"G";60;1;0,961538461538462;1;1;0,961538461538462;1900;"G";"G1206-3";1;21143,5773069503
2322;56;"G";60;1;0,961538461538462;1;1;0,961538461538462;2000;"G";"G1206-3";1;21165,7077626879
2323;56;"G";60;1;0,961538461538462;1;1;0,961538461538462;2100;"G";"G1206-3";1;21275,8740329499
2324;56;"G";60;1;0,961538461538462;1;1;0,961538461538462;2200;"G";"G1206-3";1;21411,0207961447
2340;56;"G";60;1;0,961538461538462;1;1;0,961538461538462;1900;"P";"G1206-3";1;21143,5773069503
2341;56;"G";60;1;0,961538461538462;1;1;0,961538461538462;2000;"P";"G1206-3";1;21165,7077626879
2342;56;"G";60;1;0,961538461538462;1;1;0,961538461538462;2100;"P";"G1206-3";1;21275,8740329499
2343;56;"G";60;1;0,961538461538462;1;1;0,961538461538462;2200;"P";"G1206-3";1;21411,0207961447
2358;56;"G";60;1;0,961538461538462;1;1;0,961538461538462;1900;"G";"G1206-4";1;21078,2221377406
2359;56;"G";60;1;0,961538461538462;1;1;0,961538461538462;2000;"G";"G1206-4";1;21112,9406770869
2373;56;"G";60;1;0,961538461538462;1;1;0,961538461538462;1900;"P";"G1206-4";1;21078,2221377406
2374;56;"G";60;1;0,961538461538462;1;1;0,961538461538462;2000;"P";"G1206-4";1;21112,9406770869
2387;56;"G";60;0,961538461538462;0,961538461538462;1;1;0,923076923076923;2100;"G";"G1700-1";1;21270,1681373927
2388;56;"G";60;0,961538461538462;0,961538461538462;1;1;0,923076923076923;2200;"G";"G1700-1";1;21350,7520126946
2401;56;"G";60;0,961538461538462;0,961538461538462;1;1;0,923076923076923;2100;"P";"G1700-1";1;21270,1681373927
2402;56;"G";60;0,961538461538462;0,961538461538462;1;1;0,923076923076923;2200;"P";"G1700-1";1;21350,7520126946
111;55;"G";60;1;1;1;1;1;1700;"G";"1293-2";1;21277,3234674631
112;55;"G";60;1;1;1;1;1;1800;"G";"1293-2";1;21446,2807675295
115;55;"G";60;1;1;1;1;1;1700;"P";"1293-2";1;21277,3234674631
116;55;"G";60;1;1;1;1;1;1800;"P";"1293-2";1;21446,2807675295
956;55;"G";60;0,961538461538462;1;1;1;0,961538461538462;1200;"G";"211-1";1;21409,714501504
957;55;"G";60;1;1;1;1;1;1300;"G";"211-1";1;21478,7319221571
965;55;"G";60;0,961538461538462;1;1;1;0,961538461538462;1200;"P";"211-1";1;21409,714501504
966;55;"G";60;1;1;1;1;1;1300;"P";"211-1";1;21478,7319221571
1985;55;"G";60;0,961538461538462;1;1;1;0,961538461538462;2000;"G";"9274-1";1;21374,5777459515
1986;55;"G";60;1;1;1;1;1;2100;"G";"9274-1";1;21429,4947543914
1989;55;"G";60;0,961538461538462;1;1;1;0,961538461538462;2000;"P";"9274-1";1;21374,5777459515
1990;55;"G";60;1;1;1;1;1;2100;"P";"9274-1";1;21429,4947543914
2027;55;"G";60;0,961538461538462;1;1;1;0,961538461538462;2500;"G";"DE1002-1";1;21282,9300823887
2028;55;"G";60;1;1;1;1;1;2600;"G";"DE1002-1";1;21376,8247228716
2029;55;"G";60;1;1;1;1;1;2700;"G";"DE1002-1";1;21441,640431808
2058;55;"G";60;0,961538461538462;1;1;1;0,961538461538462;2500;"P";"DE1002-1";1;21282,9300823887
