"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TOTALWEIGHT";"BREAKCLASS";"TFZ";"NUM_TFZ";"T10"
602;46;"G";90;0,934426229508197;1;1;0,983606557377049;0,934426229508197;1800;"P";"180-1";1;786,579493951811
904;46;"G";90;0,901639344262295;1;1;0,983606557377049;0,901639344262295;1200;"G";"203-1";1;804,748278856866
905;46;"G";90;0,950819672131147;1;1;0,983606557377049;0,950819672131147;1300;"G";"203-1";1;862,916691385991
920;46;"G";90;0,901639344262295;1;1;0,983606557377049;0,901639344262295;1200;"P";"203-1";1;804,748278856866
921;46;"G";90;0,950819672131147;1;1;0,983606557377049;0,950819672131147;1300;"P";"203-1";1;862,916691385991
1429;46;"G";90;0,901639344262295;1;1;0,983606557377049;0,901639344262295;2900;"G";"264-1";1;825,476116517219
1430;46;"G";90;0,901639344262295;1;1;0,983606557377049;0,901639344262295;3000;"G";"264-1";1;842,933062178326
1431;46;"G";90;0,950819672131147;1;1;0,983606557377049;0,950819672131147;3100;"G";"264-1";1;865,098642474435
1432;46;"G";90;0,967213114754098;1;1;0,983606557377049;0,967213114754098;3200;"G";"264-1";1;893,02756852517
1460;46;"G";90;0,901639344262295;1;1;0,983606557377049;0,901639344262295;2900;"P";"264-1";1;825,476116517219
1461;46;"G";90;0,901639344262295;1;1;0,983606557377049;0,901639344262295;3000;"P";"264-1";1;842,933062178326
1462;46;"G";90;0,950819672131147;1;1;0,983606557377049;0,950819672131147;3100;"P";"264-1";1;865,098642474435
1463;46;"G";90;0,967213114754098;1;1;0,983606557377049;0,967213114754098;3200;"P";"264-1";1;893,02756852517
1528;46;"G";90;0,901639344262295;1;1;0,983606557377049;0,901639344262295;2000;"G";"285-2";1;819,072890953236
1529;46;"G";90;0,934426229508197;1;1;0,983606557377049;0,934426229508197;2100;"G";"285-2";1;852,823600844389
1530;46;"G";90;0,967213114754098;1;1;0,983606557377049;0,967213114754098;2200;"G";"285-2";1;870,444529404569
1531;46;"G";90;0,983606557377049;1;1;0,983606557377049;0,983606557377049;2300;"G";"285-2";1;900,374323309766
1551;46;"G";90;0,901639344262295;1;1;0,983606557377049;0,901639344262295;2000;"P";"285-2";1;819,072890953236
1552;46;"G";90;0,934426229508197;1;1;0,983606557377049;0,934426229508197;2100;"P";"285-2";1;852,823600844389
1553;46;"G";90;0,967213114754098;1;1;0,983606557377049;0,967213114754098;2200;"P";"285-2";1;870,444529404569
1554;46;"G";90;0,983606557377049;1;1;0,983606557377049;0,983606557377049;2300;"P";"285-2";1;900,374323309766
1740;46;"G";90;0,918032786885246;1;1;0,983606557377049;0,918032786885246;1600;"G";"371-1";1;799,728324287861
1758;46;"G";90;0,918032786885246;1;1;0,983606557377049;0,918032786885246;1600;"P";"371-1";1;799,728324287861
2135;46;"G";90;0,950819672131147;1;1;0,983606557377049;0,950819672131147;1900;"G";"ER 20D-2";1;867,675546412313
2136;46;"G";90;0,967213114754098;1;1;0,983606557377049;0,967213114754098;2000;"G";"ER 20D-2";1;915,962265662011
2152;46;"G";90;0,950819672131147;1;1;0,983606557377049;0,950819672131147;1900;"P";"ER 20D-2";1;867,675546412313
2153;46;"G";90;0,967213114754098;1;1;0,983606557377049;0,967213114754098;2000;"P";"ER 20D-2";1;915,962265662011
2404;46;"G";90;0,950819672131147;1;1;0,983606557377049;0,950819672131147;1600;"G";"G1700-2";1;927,918729751354
2408;46;"G";90;0,950819672131147;1;1;0,983606557377049;0,950819672131147;1600;"P";"G1700-2";1;927,918729751354
1432;54;"G";80;0,967213114754098;0,934426229508197;1;1;0,901639344262295;3200;"G";"264-1";1;893,02756852517
1463;54;"G";80;0,967213114754098;0,934426229508197;1;1;0,901639344262295;3200;"P";"264-1";1;893,02756852517
1530;54;"G";80;0,967213114754098;0,934426229508197;1;1;0,901639344262295;2200;"G";"285-2";1;870,444529404569
1531;54;"G";80;0,983606557377049;0,934426229508197;1;1;0,918032786885246;2300;"G";"285-2";1;900,374323309766
1553;54;"G";80;0,967213114754098;0,934426229508197;1;1;0,901639344262295;2200;"P";"285-2";1;870,444529404569
1554;54;"G";80;0,983606557377049;0,934426229508197;1;1;0,918032786885246;2300;"P";"285-2";1;900,374323309766
2136;54;"G";80;0,967213114754098;0,934426229508197;1;1;0,901639344262295;2000;"G";"ER 20D-2";1;915,962265662011
2153;54;"G";80;0,967213114754098;0,934426229508197;1;1;0,901639344262295;2000;"P";"ER 20D-2";1;915,962265662011
905;52;"G";80;0,950819672131147;0,950819672131147;1;1;0,901639344262295;1300;"G";"203-1";1;862,916691385991
921;52;"G";80;0,950819672131147;0,950819672131147;1;1;0,901639344262295;1300;"P";"203-1";1;862,916691385991
1431;52;"G";80;0,950819672131147;0,950819672131147;1;1;0,901639344262295;3100;"G";"264-1";1;865,098642474435
1432;52;"G";80;0,967213114754098;0,950819672131147;1;1;0,918032786885246;3200;"G";"264-1";1;893,02756852517
1462;52;"G";80;0,950819672131147;0,950819672131147;1;1;0,901639344262295;3100;"P";"264-1";1;865,098642474435
1463;52;"G";80;0,967213114754098;0,950819672131147;1;1;0,918032786885246;3200;"P";"264-1";1;893,02756852517
1530;52;"G";80;0,967213114754098;0,950819672131147;1;1;0,918032786885246;2200;"G";"285-2";1;870,444529404569
1531;52;"G";80;0,983606557377049;0,950819672131147;1;1;0,934426229508197;2300;"G";"285-2";1;900,374323309766
1553;52;"G";80;0,967213114754098;0,950819672131147;1;1;0,918032786885246;2200;"P";"285-2";1;870,444529404569
1554;52;"G";80;0,983606557377049;0,950819672131147;1;1;0,934426229508197;2300;"P";"285-2";1;900,374323309766
2135;52;"G";80;0,950819672131147;0,950819672131147;1;1;0,901639344262295;1900;"G";"ER 20D-2";1;867,675546412313
2136;52;"G";80;0,967213114754098;0,950819672131147;1;1;0,918032786885246;2000;"G";"ER 20D-2";1;915,962265662011
2152;52;"G";80;0,950819672131147;0,950819672131147;1;1;0,901639344262295;1900;"P";"ER 20D-2";1;867,675546412313
2153;52;"G";80;0,967213114754098;0,950819672131147;1;1;0,918032786885246;2000;"P";"ER 20D-2";1;915,962265662011
2404;52;"G";80;0,950819672131147;0,950819672131147;1;1;0,901639344262295;1600;"G";"G1700-2";1;927,918729751354
2408;52;"G";80;0,950819672131147;0,950819672131147;1;1;0,901639344262295;1600;"P";"G1700-2";1;927,918729751354
582;48;"G";80;0,934426229508197;0,967213114754098;1;1;0,901639344262295;1800;"G";"180-1";1;786,579493951811
602;48;"G";80;0,934426229508197;0,967213114754098;1;1;0,901639344262295;1800;"P";"180-1";1;786,579493951811
905;48;"G";80;0,950819672131147;0,967213114754098;1;1;0,918032786885246;1300;"G";"203-1";1;862,916691385991
921;48;"G";80;0,950819672131147;0,967213114754098;1;1;0,918032786885246;1300;"P";"203-1";1;862,916691385991
1431;48;"G";80;0,950819672131147;0,967213114754098;1;1;0,918032786885246;3100;"G";"264-1";1;865,098642474435
1432;48;"G";80;0,967213114754098;0,967213114754098;1;1;0,934426229508197;3200;"G";"264-1";1;893,02756852517
1462;48;"G";80;0,950819672131147;0,967213114754098;1;1;0,918032786885246;3100;"P";"264-1";1;865,098642474435
1463;48;"G";80;0,967213114754098;0,967213114754098;1;1;0,934426229508197;3200;"P";"264-1";1;893,02756852517
1529;48;"G";80;0,934426229508197;0,967213114754098;1;1;0,901639344262295;2100;"G";"285-2";1;852,823600844389
1530;48;"G";80;0,967213114754098;0,967213114754098;1;1;0,934426229508197;2200;"G";"285-2";1;870,444529404569
1531;48;"G";80;0,983606557377049;0,967213114754098;1;1;0,950819672131147;2300;"G";"285-2";1;900,374323309766
1552;48;"G";80;0,934426229508197;0,967213114754098;1;1;0,901639344262295;2100;"P";"285-2";1;852,823600844389
1553;48;"G";80;0,967213114754098;0,967213114754098;1;1;0,934426229508197;2200;"P";"285-2";1;870,444529404569
1554;48;"G";80;0,983606557377049;0,967213114754098;1;1;0,950819672131147;2300;"P";"285-2";1;900,374323309766
2135;48;"G";80;0,950819672131147;0,967213114754098;1;1;0,918032786885246;1900;"G";"ER 20D-2";1;867,675546412313
2136;48;"G";80;0,967213114754098;0,967213114754098;1;1;0,934426229508197;2000;"G";"ER 20D-2";1;915,962265662011
2152;48;"G";80;0,950819672131147;0,967213114754098;1;1;0,918032786885246;1900;"P";"ER 20D-2";1;867,675546412313
2153;48;"G";80;0,967213114754098;0,967213114754098;1;1;0,934426229508197;2000;"P";"ER 20D-2";1;915,962265662011
2404;48;"G";80;0,950819672131147;0,967213114754098;1;1;0,918032786885246;1600;"G";"G1700-2";1;927,918729751354
2408;48;"G";80;0,950819672131147;0,967213114754098;1;1;0,918032786885246;1600;"P";"G1700-2";1;927,918729751354
130;46;"G";80;0,918032786885246;1;1;1;0,918032786885246;1900;"G";"139-1";1;786,260801626734
147;46;"G";80;0,918032786885246;1;1;1;0,918032786885246;1900;"P";"139-1";1;786,260801626734
165;46;"G";80;0,918032786885246;1;1;1;0,918032786885246;1900;"G";"140-1";1;784,800234470127
185;46;"G";80;0,918032786885246;1;1;1;0,918032786885246;1900;"P";"140-1";1;784,800234470127
257;46;"G";80;0,901639344262295;1;1;1;0,901639344262295;2500;"G";"145-2";1;680,538293946535
258;46;"G";80;0,901639344262295;1;1;1;0,901639344262295;2600;"G";"145-2";1;705,900420435657
259;46;"G";80;0,918032786885246;1;1;1;0,918032786885246;2700;"G";"145-2";1;736,758218235227
280;46;"G";80;0,901639344262295;1;1;1;0,901639344262295;2500;"P";"145-2";1;680,538293946535
281;46;"G";80;0,901639344262295;1;1;1;0,901639344262295;2600;"P";"145-2";1;705,900420435657
282;46;"G";80;0,918032786885246;1;1;1;0,918032786885246;2700;"P";"145-2";1;736,758218235227
346;46;"G";80;0,901639344262295;1;1;1;0,901639344262295;2800;"G";"151-1";1;755,371747834852
347;46;"G";80;0,918032786885246;1;1;1;0,918032786885246;2900;"G";"151-1";1;805,686712874635
373;46;"G";80;0,901639344262295;1;1;1;0,901639344262295;2800;"P";"151-1";1;755,371747834852
374;46;"G";80;0,918032786885246;1;1;1;0,918032786885246;2900;"P";"151-1";1;805,686712874635
498;46;"G";80;0,901639344262295;1;1;1;0,901639344262295;2800;"G";"155-1";1;819,609668589612
526;46;"G";80;0,901639344262295;1;1;1;0,901639344262295;2800;"P";"155-1";1;819,609668589612
581;46;"G";80;0,918032786885246;1;1;1;0,918032786885246;1700;"G";"180-1";1;731,101045758018
582;46;"G";80;0,934426229508197;1;1;1;0,934426229508197;1800;"G";"180-1";1;786,579493951811
601;46;"G";80;0,918032786885246;1;1;1;0,918032786885246;1700;"P";"180-1";1;731,101045758018
602;46;"G";80;0,934426229508197;1;1;1;0,934426229508197;1800;"P";"180-1";1;786,579493951811
904;46;"G";80;0,901639344262295;1;1;1;0,901639344262295;1200;"G";"203-1";1;804,748278856866
905;46;"G";80;0,950819672131147;1;1;1;0,950819672131147;1300;"G";"203-1";1;862,916691385991
920;46;"G";80;0,901639344262295;1;1;1;0,901639344262295;1200;"P";"203-1";1;804,748278856866
921;46;"G";80;0,950819672131147;1;1;1;0,950819672131147;1300;"P";"203-1";1;862,916691385991
1429;46;"G";80;0,901639344262295;1;1;1;0,901639344262295;2900;"G";"264-1";1;825,476116517219
1430;46;"G";80;0,901639344262295;1;1;1;0,901639344262295;3000;"G";"264-1";1;842,933062178326
1431;46;"G";80;0,950819672131147;1;1;1;0,950819672131147;3100;"G";"264-1";1;865,098642474435
1432;46;"G";80;0,967213114754098;1;1;1;0,967213114754098;3200;"G";"264-1";1;893,02756852517
1460;46;"G";80;0,901639344262295;1;1;1;0,901639344262295;2900;"P";"264-1";1;825,476116517219
1461;46;"G";80;0,901639344262295;1;1;1;0,901639344262295;3000;"P";"264-1";1;842,933062178326
1462;46;"G";80;0,950819672131147;1;1;1;0,950819672131147;3100;"P";"264-1";1;865,098642474435
1463;46;"G";80;0,967213114754098;1;1;1;0,967213114754098;3200;"P";"264-1";1;893,02756852517
1528;46;"G";80;0,901639344262295;1;1;1;0,901639344262295;2000;"G";"285-2";1;819,072890953236
1529;46;"G";80;0,934426229508197;1;1;1;0,934426229508197;2100;"G";"285-2";1;852,823600844389
1530;46;"G";80;0,967213114754098;1;1;1;0,967213114754098;2200;"G";"285-2";1;870,444529404569
1531;46;"G";80;0,983606557377049;1;1;1;0,983606557377049;2300;"G";"285-2";1;900,374323309766
1551;46;"G";80;0,901639344262295;1;1;1;0,901639344262295;2000;"P";"285-2";1;819,072890953236
1552;46;"G";80;0,934426229508197;1;1;1;0,934426229508197;2100;"P";"285-2";1;852,823600844389
1553;46;"G";80;0,967213114754098;1;1;1;0,967213114754098;2200;"P";"285-2";1;870,444529404569
1554;46;"G";80;0,983606557377049;1;1;1;0,983606557377049;2300;"P";"285-2";1;900,374323309766
1740;46;"G";80;0,918032786885246;1;1;1;0,918032786885246;1600;"G";"371-1";1;799,728324287861
1758;46;"G";80;0,918032786885246;1;1;1;0,918032786885246;1600;"P";"371-1";1;799,728324287861
2135;46;"G";80;0,950819672131147;1;1;1;0,950819672131147;1900;"G";"ER 20D-2";1;867,675546412313
2136;46;"G";80;0,967213114754098;1;1;1;0,967213114754098;2000;"G";"ER 20D-2";1;915,962265662011
2152;46;"G";80;0,950819672131147;1;1;1;0,950819672131147;1900;"P";"ER 20D-2";1;867,675546412313
2153;46;"G";80;0,967213114754098;1;1;1;0,967213114754098;2000;"P";"ER 20D-2";1;915,962265662011
2404;46;"G";80;0,950819672131147;1;1;1;0,950819672131147;1600;"G";"G1700-2";1;927,918729751354
2408;46;"G";80;0,950819672131147;1;1;1;0,950819672131147;1600;"P";"G1700-2";1;927,918729751354
