"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10km";"X";"T10kmRound";"COVERAGE";"BrH";"STA";"GAIN";"NAME";"LZB";"ELECTRIC"
1200;"G";80;"1144-1";1;603,787398110887;5117;604;0,754385964912281;60;"1";7237,95391372063;"G7";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9123;58;"1";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,714285714285714;52;"101";1927,21831049981;"G3";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9286;42;"101";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,351351351351351;65;"103";14244,4582250187;"G2";FALSE;1
2600;"G";70;"145-2";1;764,978717363646;8935;765;0,648648648648649;56;"103";1523,09943211184;"G4";FALSE;1
1700;"G";50;"1293-2";1;1468,67315441507;NA;1469;0,9459;37;"103";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,389830508474576;58;"105";5509,81934982565;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9153;52;"105";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,548387096774194;56;"107";4845,25769497544;"G3";FALSE;1
2000;"G";70;"151-1";1;671,011261966804;8541;672;0,806451612903226;56;"107";192,82139175607;"G1";FALSE;1
2900;"G";50;"185CL1-1";1;899,944830115219;NA;900;0,9032;60;"107";0;"S90";FALSE;1
2000;"G";80;"6186-1";1;630,763847061028;6065;631;0,621212121212121;56;"109A";13353,9379029077;"G9";FALSE;1
2400;"G";60;"285-2";1;956,469649570973;NA;957;0,9091;50;"109A";0;"S90";FALSE;1
2000;"G";80;"6186-1";1;630,763847061028;6065;631;0,52020202020202;53;"109B";36319,8397455382;"G9";FALSE;1
2500;"G";60;"285-2";1;983,383650415768;NA;984;0,9242;53;"109B";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,69047619047619;56;"111";9140,20538098574;"G3";FALSE;1
2000;"G";80;"180-1";1;894,569572578376;NA;895;0,9096;56;"111";0;"S90";FALSE;1
2000;"G";70;"151-1";1;671,011261966804;8541;672;0,654761904761905;55;"113";9962,22146470996;"G1";FALSE;1
2900;"G";60;"185CL1-1";1;852,142561325167;NA;853;0,9048;47;"113";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,72;60;"115A";5652,80064413801;"G2";FALSE;1
2000;"P";80;"146-3";1;612,531466161185;6018;613;0,84;61;"115A";0;"G6";FALSE;1
2900;"G";50;"185CL1-1";1;899,944830115219;NA;900;0,92;50;"115A";0;"S90";FALSE;1
1600;"P";90;"185CL1-1";1;542,307877597172;3196;543;0,792452830188679;60;"115B";9651,76926567525;"G8";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9811;60;"115B";0;"S90";FALSE;1
2000;"G";70;"151-1";1;671,011261966804;8541;672;0,6875;34;"117";15700,2113182293;"G1";FALSE;1
