"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
470;56;"G";80;0,961538461538462;0,951923076923077;1;1;0,923076923076923;"66-2";3726;1;90;876,356908242111
503;56;"G";80;0,942307692307692;0,951923076923077;1;1;0,923076923076923;"G1206-4";1887;1;60;865,712512650703
558;56;"G";80;0,932692307692308;0,951923076923077;1;1;0,913461538461538;"225-1";1428;1;80;782,908512801698
649;56;"G";80;0,942307692307692;0,951923076923077;1;1;0,923076923076923;"G1206-3";1887;1;100;864,941777996404
676;56;"G";80;0,932692307692308;0,951923076923077;1;1;0,903846153846154;"1293-2";1680;1;65;921,334459946183
711;56;"G";80;0,980769230769231;0,951923076923077;1;1;0,942307692307692;"294-1";1764;1;40;1056,52845475141
712;56;"G";80;0,971153846153846;0,951923076923077;1;1;0,932692307692308;"294-2";1789;1;40;850,482585930078
723;56;"G";80;1;0,951923076923077;1;1;0,951923076923077;"363-1";2376;2;60;1103,09711723805
758;56;"G";80;0,951923076923077;0,951923076923077;1;1;0,932692307692308;"203-1";1598;1;100;781,902042638094
828;56;"G";80;0,913461538461538;0,951923076923077;1;1;0,903846153846154;"140-1";2283;1;100;695,791805181298
872;56;"G";80;0,942307692307692;0,951923076923077;1;1;0,923076923076923;"232-2";2762;1;100;852,467786771253
883;56;"G";80;0,961538461538462;0,951923076923077;1;1;0,923076923076923;"66-1";3726;1;90;876,356908242111
894;56;"G";80;0,951923076923077;0,951923076923077;1;1;0,932692307692308;"371-1";2084;1;100;740,655703291717
897;56;"G";80;0,951923076923077;0,951923076923077;1;1;0,932692307692308;"180-1";2384;1;90;739,848908452917
900;56;"G";80;0,923076923076923;0,951923076923077;1;1;0,913461538461538;"371-1";1884;1;100;715,305773292214
904;56;"G";80;0,951923076923077;0,951923076923077;1;1;0,932692307692308;"180-1";2484;1;90;750,985958691341
914;56;"G";80;0,932692307692308;0,951923076923077;1;1;0,913461538461538;"180-1";2284;1;90;710,313658532563
920;56;"G";80;0,971153846153846;0,951923076923077;1;1;0,942307692307692;"264-1";4356;1;80;876,87510703218
923;56;"G";80;0,951923076923077;0,951923076923077;1;1;0,932692307692308;"246-1";2482;1;80;861,830255963242
925;56;"G";80;0,951923076923077;0,951923076923077;1;1;0,932692307692308;"285-2";2560;1;90;778,273586937253
949;56;"G";80;0,942307692307692;0,951923076923077;1;1;0,923076923076923;"232-2";2772;1;90;852,9543578825
1009;56;"G";80;0,951923076923077;0,951923076923077;1;1;0,932692307692308;"G1206-3";1937;1;100;869,30840562165
1023;56;"G";80;0,990384615384615;0,951923076923077;1;1;0,942307692307692;"247-1";4809;1;90;1032,66786239258
1024;56;"G";80;0,990384615384615;0,951923076923077;1;1;0,942307692307692;"66-1";4806;1;90;1038,37163021269
1031;56;"G";80;0,971153846153846;0,951923076923077;1;1;0,932692307692308;"295-2";1829;1;40;878,723213651964
1047;56;"G";80;0,971153846153846;0,951923076923077;1;1;0,932692307692308;"295-1";1679;1;40;1045,1418945199
57;55;"G";80;0,913461538461538;0,971153846153846;1;1;0,903846153846154;"264-1";3456;1;80;765,887583017809
79;55;"G";80;0,990384615384615;0,971153846153846;1;1;0,961538461538462;"G1206-3";2087;1;80;883,367468423894
128;55;"G";80;0,932692307692308;0,971153846153846;1;1;0,903846153846154;"9274-1";1980;1;80;1021,11895287679
175;55;"G";80;0,961538461538462;0,971153846153846;1;1;0,932692307692308;"G1206-1";2690;1;80;1021,47582818879
420;55;"G";80;1;0,971153846153846;1;1;0,971153846153846;"DE1002-1";3990;1;80;1155,78017715167
429;55;"G";80;0,942307692307692;0,971153846153846;1;1;0,932692307692308;"G1206-3";3674;2;80;860,529187374215
430;55;"G";80;0,990384615384615;0,971153846153846;1;1;0,961538461538462;"G1206-3";2187;1;80;893,736394836174
432;55;"G";80;0,971153846153846;0,971153846153846;1;1;0,961538461538462;"203-1";1868;1;90;876,915924242969
444;55;"G";80;0,971153846153846;0,971153846153846;1;1;0,961538461538462;"203-1";1668;1;80;792,24707215649
463;55;"G";80;0,913461538461538;0,971153846153846;1;1;0,903846153846154;"66-1";3526;1;100;866,352778635464
470;55;"G";80;0,961538461538462;0,971153846153846;1;1;0,932692307692308;"66-2";3726;1;90;876,356908242111
503;55;"G";80;0,942307692307692;0,971153846153846;1;1;0,932692307692308;"G1206-4";1887;1;60;865,712512650703
558;55;"G";80;0,932692307692308;0,971153846153846;1;1;0,923076923076923;"225-1";1428;1;80;782,908512801698
649;55;"G";80;0,942307692307692;0,971153846153846;1;1;0,932692307692308;"G1206-3";1887;1;100;864,941777996404
676;55;"G";80;0,932692307692308;0,971153846153846;1;1;0,903846153846154;"1293-2";1680;1;65;921,334459946183
711;55;"G";80;0,980769230769231;0,971153846153846;1;1;0,951923076923077;"294-1";1764;1;40;1056,52845475141
712;55;"G";80;0,971153846153846;0,971153846153846;1;1;0,942307692307692;"294-2";1789;1;40;850,482585930078
723;55;"G";80;1;0,971153846153846;1;1;0,971153846153846;"363-1";2376;2;60;1103,09711723805
758;55;"G";80;0,951923076923077;0,971153846153846;1;1;0,942307692307692;"203-1";1598;1;100;781,902042638094
828;55;"G";80;0,913461538461538;0,971153846153846;1;1;0,913461538461538;"140-1";2283;1;100;695,791805181298
872;55;"G";80;0,942307692307692;0,971153846153846;1;1;0,932692307692308;"232-2";2762;1;100;852,467786771253
883;55;"G";80;0,961538461538462;0,971153846153846;1;1;0,932692307692308;"66-1";3726;1;90;876,356908242111
890;55;"G";80;0,903846153846154;0,971153846153846;1;1;0,903846153846154;"180-1";2084;1;100;683,697100033551
894;55;"G";80;0,951923076923077;0,971153846153846;1;1;0,951923076923077;"371-1";2084;1;100;740,655703291717
897;55;"G";80;0,951923076923077;0,971153846153846;1;1;0,951923076923077;"180-1";2384;1;90;739,848908452917
900;55;"G";80;0,923076923076923;0,971153846153846;1;1;0,923076923076923;"371-1";1884;1;100;715,305773292214
902;55;"G";80;0,903846153846154;0,971153846153846;1;1;0,903846153846154;"180-1";2074;1;100;682,444907837691
904;55;"G";80;0,951923076923077;0,971153846153846;1;1;0,951923076923077;"180-1";2484;1;90;750,985958691341
909;55;"G";80;0,903846153846154;0,971153846153846;1;1;0,903846153846154;"180-1";2064;1;90;681,199472667362
914;55;"G";80;0,932692307692308;0,971153846153846;1;1;0,932692307692308;"180-1";2284;1;90;710,313658532563
920;55;"G";80;0,971153846153846;0,971153846153846;1;1;0,961538461538462;"264-1";4356;1;80;876,87510703218
923;55;"G";80;0,951923076923077;0,971153846153846;1;1;0,942307692307692;"246-1";2482;1;80;861,830255963242
925;55;"G";80;0,951923076923077;0,971153846153846;1;1;0,942307692307692;"285-2";2560;1;90;778,273586937253
949;55;"G";80;0,942307692307692;0,971153846153846;1;1;0,932692307692308;"232-2";2772;1;90;852,9543578825
1009;55;"G";80;0,951923076923077;0,971153846153846;1;1;0,942307692307692;"G1206-3";1937;1;100;869,30840562165
1023;55;"G";80;0,990384615384615;0,971153846153846;1;1;0,961538461538462;"247-1";4809;1;90;1032,66786239258
1024;55;"G";80;0,990384615384615;0,971153846153846;1;1;0,961538461538462;"66-1";4806;1;90;1038,37163021269
1031;55;"G";80;0,971153846153846;0,971153846153846;1;1;0,942307692307692;"295-2";1829;1;40;878,723213651964
1047;55;"G";80;0,971153846153846;0,971153846153846;1;1;0,942307692307692;"295-1";1679;1;40;1045,1418945199
57;50;"G";80;0,913461538461538;0,990384615384615;1;1;0,903846153846154;"264-1";3456;1;80;765,887583017809
79;50;"G";80;0,990384615384615;0,990384615384615;1;1;0,980769230769231;"G1206-3";2087;1;80;883,367468423894
128;50;"G";80;0,932692307692308;0,990384615384615;1;1;0,923076923076923;"9274-1";1980;1;80;1021,11895287679
175;50;"G";80;0,961538461538462;0,990384615384615;1;1;0,951923076923077;"G1206-1";2690;1;80;1021,47582818879
177;50;"G";80;0,923076923076923;0,990384615384615;1;1;0,913461538461538;"G1206-1";2590;1;80;1016,52311609825
420;50;"G";80;1;0,990384615384615;1;1;0,990384615384615;"DE1002-1";3990;1;80;1155,78017715167
429;50;"G";80;0,942307692307692;0,990384615384615;1;1;0,932692307692308;"G1206-3";3674;2;80;860,529187374215
430;50;"G";80;0,990384615384615;0,990384615384615;1;1;0,980769230769231;"G1206-3";2187;1;80;893,736394836174
432;50;"G";80;0,971153846153846;0,990384615384615;1;1;0,961538461538462;"203-1";1868;1;90;876,915924242969
444;50;"G";80;0,971153846153846;0,990384615384615;1;1;0,961538461538462;"203-1";1668;1;80;792,24707215649
463;50;"G";80;0,913461538461538;0,990384615384615;1;1;0,903846153846154;"66-1";3526;1;100;866,352778635464
470;50;"G";80;0,961538461538462;0,990384615384615;1;1;0,951923076923077;"66-2";3726;1;90;876,356908242111
503;50;"G";80;0,942307692307692;0,990384615384615;1;1;0,932692307692308;"G1206-4";1887;1;60;865,712512650703
558;50;"G";80;0,932692307692308;0,990384615384615;1;1;0,923076923076923;"225-1";1428;1;80;782,908512801698
561;50;"G";80;0,923076923076923;0,990384615384615;1;1;0,913461538461538;"G1700-1";2087;1;80;859,519887004114
649;50;"G";80;0,942307692307692;0,990384615384615;1;1;0,932692307692308;"G1206-3";1887;1;100;864,941777996404
676;50;"G";80;0,932692307692308;0,990384615384615;1;1;0,923076923076923;"1293-2";1680;1;65;921,334459946183
711;50;"G";80;0,980769230769231;0,990384615384615;1;1;0,971153846153846;"294-1";1764;1;40;1056,52845475141
712;50;"G";80;0,971153846153846;0,990384615384615;1;1;0,961538461538462;"294-2";1789;1;40;850,482585930078
723;50;"G";80;1;0,990384615384615;1;1;0,990384615384615;"363-1";2376;2;60;1103,09711723805
758;50;"G";80;0,951923076923077;0,990384615384615;1;1;0,942307692307692;"203-1";1598;1;100;781,902042638094
828;50;"G";80;0,913461538461538;0,990384615384615;1;1;0,913461538461538;"140-1";2283;1;100;695,791805181298
872;50;"G";80;0,942307692307692;0,990384615384615;1;1;0,932692307692308;"232-2";2762;1;100;852,467786771253
883;50;"G";80;0,961538461538462;0,990384615384615;1;1;0,951923076923077;"66-1";3726;1;90;876,356908242111
890;50;"G";80;0,903846153846154;0,990384615384615;1;1;0,903846153846154;"180-1";2084;1;100;683,697100033551
894;50;"G";80;0,951923076923077;0,990384615384615;1;1;0,951923076923077;"371-1";2084;1;100;740,655703291717
897;50;"G";80;0,951923076923077;0,990384615384615;1;1;0,951923076923077;"180-1";2384;1;90;739,848908452917
900;50;"G";80;0,923076923076923;0,990384615384615;1;1;0,923076923076923;"371-1";1884;1;100;715,305773292214
902;50;"G";80;0,903846153846154;0,990384615384615;1;1;0,903846153846154;"180-1";2074;1;100;682,444907837691
904;50;"G";80;0,951923076923077;0,990384615384615;1;1;0,951923076923077;"180-1";2484;1;90;750,985958691341
909;50;"G";80;0,903846153846154;0,990384615384615;1;1;0,903846153846154;"180-1";2064;1;90;681,199472667362
914;50;"G";80;0,932692307692308;0,990384615384615;1;1;0,932692307692308;"180-1";2284;1;90;710,313658532563
920;50;"G";80;0,971153846153846;0,990384615384615;1;1;0,961538461538462;"264-1";4356;1;80;876,87510703218
923;50;"G";80;0,951923076923077;0,990384615384615;1;1;0,942307692307692;"246-1";2482;1;80;861,830255963242
925;50;"G";80;0,951923076923077;0,990384615384615;1;1;0,942307692307692;"285-2";2560;1;90;778,273586937253
949;50;"G";80;0,942307692307692;0,990384615384615;1;1;0,932692307692308;"232-2";2772;1;90;852,9543578825
1009;50;"G";80;0,951923076923077;0,990384615384615;1;1;0,942307692307692;"G1206-3";1937;1;100;869,30840562165
1023;50;"G";80;0,990384615384615;0,990384615384615;1;1;0,980769230769231;"247-1";4809;1;90;1032,66786239258
1024;50;"G";80;0,990384615384615;0,990384615384615;1;1;0,980769230769231;"66-1";4806;1;90;1038,37163021269
1031;50;"G";80;0,971153846153846;0,990384615384615;1;1;0,961538461538462;"295-2";1829;1;40;878,723213651964
1047;50;"G";80;0,971153846153846;0,990384615384615;1;1;0,961538461538462;"295-1";1679;1;40;1045,1418945199
1053;50;"G";80;0,913461538461538;0,990384615384615;1;1;0,903846153846154;"295-1";1479;1;80;1024,27591868554
14;25;"G";80;0,903846153846154;1;1;1;0,903846153846154;"211-1";2241;2;80;883,736961496171
57;25;"G";80;0,913461538461538;1;1;1;0,913461538461538;"264-1";3456;1;80;765,887583017809
79;25;"G";80;0,990384615384615;1;1;1;0,990384615384615;"G1206-3";2087;1;80;883,367468423894
128;25;"G";80;0,932692307692308;1;1;1;0,932692307692308;"9274-1";1980;1;80;1021,11895287679
175;25;"G";80;0,961538461538462;1;1;1;0,961538461538462;"G1206-1";2690;1;80;1021,47582818879
177;25;"G";80;0,923076923076923;1;1;1;0,923076923076923;"G1206-1";2590;1;80;1016,52311609825
420;25;"G";80;1;1;1;1;1;"DE1002-1";3990;1;80;1155,78017715167
429;25;"G";80;0,942307692307692;1;1;1;0,942307692307692;"G1206-3";3674;2;80;860,529187374215
430;25;"G";80;0,990384615384615;1;1;1;0,990384615384615;"G1206-3";2187;1;80;893,736394836174
432;25;"G";80;0,971153846153846;1;1;1;0,971153846153846;"203-1";1868;1;90;876,915924242969
444;25;"G";80;0,971153846153846;1;1;1;0,971153846153846;"203-1";1668;1;80;792,24707215649
463;25;"G";80;0,913461538461538;1;1;1;0,913461538461538;"66-1";3526;1;100;866,352778635464
470;25;"G";80;0,961538461538462;1;1;1;0,961538461538462;"66-2";3726;1;90;876,356908242111
503;25;"G";80;0,942307692307692;1;1;1;0,942307692307692;"G1206-4";1887;1;60;865,712512650703
558;25;"G";80;0,932692307692308;1;1;1;0,932692307692308;"225-1";1428;1;80;782,908512801698
